s VOUT
0 0
1,0000000000000002E-06 -0,00012224255114444914
2,0000000000000003E-06 -0,000244021350675947
4,000000000000001E-06 -0,0004874631983859601
8,000000000000001E-06 -0,0009736525585454991
1,6000000000000003E-05 -0,0019432588184729127
3,2000000000000005E-05 -0,0038714204671202613
6,400000000000001E-05 -0,007683850752226959
0,0001 -0,011903494968211739
0,00010640000000000001 -0,012855948189969624
0,00011920000000000001 -0,01475541592182772
0,00014480000000000002 -0,01852007685608812
0,00019600000000000005 -0,025913798018455853
0,0002 -0,026483846667361133
0,00020799999999999993 -0,025996637748480867
0,00022399999999999978 -0,025027451491203712
0,0002559999999999995 -0,023112071451120552
0,0003 -0,02052946471491003
0,0003063999999999999 -0,019621338874451465
0,0003191999999999998 -0,01781182690984721
0,00034479999999999954 -0,01423070383805026
0,00039599999999999905 -0,007217976273935731
0,0004 -0,006678432220420358
0,00040800000000000195 -0,00776528762982375
0,0004240000000000058 -0,009933280195208
0,0004560000000000135 -0,014218758061068816
0,0005 -0,020005507984436555
0,0005064000000000016 -0,022903028710695664
0,0005192000000000047 -0,02868837351905194
0,0005448000000000109 -0,04017308901700188
0,0005960000000000232 -0,06280336271533857
0,0006 -0,06455222652821557
0,0006079999999999535 -0,0689719958814647
0,0006239999999998607 -0,07779169920811296
0,000655999999999675 -0,09527578186648318
0,0007 -0,1189766310680179
0,0007063999999999629 -0,12064950227767823
0,0007191999999998886 -0,12398726681148814
0,00074479999999974 -0,13060269476621805
0,0007959999999994429 -0,14359845992292516
0,0008 -0,14460057820270816
0,0008080000000011144 -0,14489396767958557
0,000824000000003343 -0,14547880712759417
0,0008560000000078003 -0,1466294179090218
0,0009 -0,14817210631085112
0,0009064000000008915 -0,1492996862214084
0,0009192000000026744 -0,15154827825763031
0,0009448000000062402 -0,15600200961299865
0,0009960000000133718 -0,1647383134101926
0,001 -0,16541126181611512
0,0010079999999732564 -0,17166731178607791
0,0010239999999197692 -0,18416447752163193
0,0010559999998127948 -0,20895005108109715
0,0011 -0,24258142421758921
0,0011063999999786052 -0,24885365757759245
0,0011191999999358155 -0,26138234651442577
0,001144799999850236 -0,2862872938056602
0,0011959999996790768 -0,33547473855178495
0,0012 -0,33928199792647096
0,001208000000641846 -0,33841753059139507
0,0012240000019255383 -0,33671528962032776
0,001256000004492923 -0,3333304144966372
0,0013 -0,3287484366361262
0,001306400000513477 -0,3161221846714731
0,0013192000015404307 -0,29108771881790524
0,0013448000035943383 -0,24185789563289772
0,0013960000077021537 -0,14683576818335045
0,0014 -0,13960505300279955
0,0014079999845956926 -0,11006982288404928
0,0014239999537870778 -0,051995526971851135
0,0014559998921698481 0,06002531174585516
0,0015 0,20469874563511206
0,001506399987676554 0,2332508823219169
0,0015191999630296622 0,2890744332481935
0,0015447999137358785 0,39522890980662756
0,0015959998151483111 0,5842905670588634
0,0016 0,5975613091769814
0,001608000369703378 0,6249715305730918
0,0016240011091101338 0,6771886109647186
0,0016560025879236455 0,7706601793839735
0,0017 0,8752671633213236
0,0017064002957627022 0,882133087775263
0,0017192008872881069 0,8954274129742278
0,0017448020703389163 0,9200404110557566
0,0017960044364405349 0,9615244407362576
0,0018 0,9643477986226843
0,00180799112711893 0,9625370357943561
0,0018239733813567903 0,9584670897134797
0,0018559378898325108 0,9505744731000817
0,0019 0,9396068100952966
0,0019063929016951441 0,9315070631243259
0,0019191787050854324 0,9142728534010801
0,0019447503118660088 0,8770558575074019
0,0019958935254271617 0,7909074019511391
0,002 0,7832451281994969
0,0020082129491456767 0,7563013924115032
0,00202463884743703 0,6982259505565074
0,0020574906440197363 0,5683910568956705
0,0021 0,37600763938891285
0,0021065703593165412 0,3373470752662247
0,002119711077949624 0,2576906798738567
0,002145992515215789 0,09063993072968135
0,0021985553897481192 -0,26748769182952264
0,0022 -0,27767536596588477
0,002202889220503762 -0,300717184384149
0,0022086676615112855 -0,3470724636883281
0,0022202245435263327 -0,4406521454448711
0,002243338307556427 -0,6307766359313562
0,0022895658356166157 -1,019392656227917
0,0023 -1,1084174035554646
0,0023092455056120376 -1,1865345890913614
0,002327736516836113 -1,3436123478800481
0,002364718539284264 -1,6587304344328904
0,0024 -1,959398954926385
0,00240739640448963 -2,011579008625706
0,0024221892134688905 -2,1158709382851573
0,002451774831427411 -2,3233946252507294
0,0025 -2,6581182456667602
0,002505917123591704 -2,671482337979887
0,0025177513707751124 -2,6981451886382875
0,002541419865141929 -2,750946900153182
0,0025887568538755625 -2,8545879602678648
0,0026 -2,878819159051905
0,0026094673977467265 -2,8335735244903035
0,0026284021932401797 -2,743923923494818
0,0026662717842270865 -2,567936668239137
0,0027 -2,4150312744358184
0,0027075739181973814 -2,332249593775039
0,002722721754592144 -2,1683319399078056
0,002753017427381669 -1,847940946978288
0,0028 -1,3717960769869348
0,002806059134557905 -1,2853737146112936
0,002818177403673715 -1,114810935604572
0,002842413941905335 -0,7845138003759237
0,0028908870183685757 -0,17447524643891185
0,0029 -0,06855477513913963
0,002909694615292648 0,05551316766031272
0,0029290838458779444 0,28907568421003543
0,0029678623070485367 0,6823743009612147
0,003 0,9178527545625335
0,0030077556922341185 0,9559744848083142
0,0030232670767023555 1,020612034594501
0,0030542898456388293 1,1078401095206918
0,0031 1,165060577792399
